maj_foreign,maj_race,pct_publictrans,time_travel_workE,med_incomeE
FALSE,white,0.35317102494740005,78220,74275
FALSE,no_majority,0.34989200863930886,21120,11330
FALSE,white,0.21630094043887146,71210,44534
FALSE,no_majority,0.19281045751633988,28580,17819
FALSE,no_majority,0.23467137185707984,49175,34104
FALSE,no_majority,0.15327301756253325,36695,25078
FALSE,no_majority,0.37104072398190047,34830,17930
FALSE,no_majority,0.23659003831417624,34120,6568
FALSE,no_majority,0.38055627761892385,121575,33750
FALSE,white,0.15806715806715807,63910,48007
FALSE,black,0.297680858428522,96415,23369
FALSE,white,0.13986679352997144,84205,50580
FALSE,white,0.21349072512647554,69595,92996
FALSE,no_majority,0.29988851727982163,45535,36636
FALSE,black,0.3552415379559645,89895,17933
FALSE,white,0.2598775737340011,45115,64066
FALSE,no_majority,0.4274960380348653,79390,26296
FALSE,black,0.4245025360905189,70225,16234
FALSE,black,0.3456867019620056,115550,30375
FALSE,white,0.40800444691495275,47580,64002
FALSE,black,0.2607584149978696,65940,21596
FALSE,no_majority,0.454396504642272,48150,34495
FALSE,no_majority,0.34421364985163205,40360,22454
TRUE,hs_latino,0.562374245472837,90420,24967
FALSE,no_majority,0.48279714030384274,150815,28007
FALSE,white,0.279126213592233,61850,64958
FALSE,white,0.429220287660863,76570,63318
FALSE,white,0.26910112359550564,40845,57463
FALSE,no_majority,0.3335451080050826,40150,18485
FALSE,black,0.2751643904906424,43850,21564
FALSE,black,0.2835563228312473,57320,26498
FALSE,black,0.29,61455,21042
FALSE,black,0.30659025787965616,130540,22237
FALSE,no_majority,0.23594093622368834,98435,39757
FALSE,white,0.17271407837445574,43025,58274
FALSE,white,0.1774628879892038,90745,44052
FALSE,black,0.29557894736842105,170725,27188
FALSE,white,0.24320652173913043,83460,42325
FALSE,white,0.21103047895500726,86065,35556
FALSE,white,0.2402694610778443,71295,45485
FALSE,white,0.3268560039860488,55890,50175
FALSE,white,0.3535673839184598,126275,29838
FALSE,white,0.2525933609958506,38485,74034
FALSE,white,0.09062693978895096,40630,79745
FALSE,white,0.30936675461741425,94780,78684
FALSE,hs_latino,0.6161111111111112,49050,29622
FALSE,no_majority,0.4082171127026008,66300,35233
FALSE,white,0.3196885986941236,111245,63432
FALSE,no_majority,0.40899122807017546,20710,12434
FALSE,black,0.3231571109456441,35110,17525
FALSE,black,0.3683875079668579,45120,21897
TRUE,no_majority,0.3422629538244625,78555,23333
FALSE,white,0.16119005328596803,69450,25250
FALSE,no_majority,0.20229175848391362,36775,8652
FALSE,no_majority,0.3563786008230453,57980,14925
TRUE,no_majority,0.33276353276353277,47030,19009
FALSE,white,0.3633648581383773,53215,52785
FALSE,no_majority,0.26222537207654145,117775,23461
FALSE,white,0.1387119603680113,41155,50046
FALSE,no_majority,0.3140976967856239,107045,47900
FALSE,no_majority,0.24079754601226994,38950,33708
FALSE,no_majority,0.22562674094707522,55405,38333
FALSE,no_majority,0.24427480916030533,88860,40340
FALSE,white,0.2751995270469997,102250,43913
FALSE,white,0.1843100189035917,27835,71458
FALSE,white,0.3357329842931937,45140,53140
FALSE,white,0.11154446177847113,29165,65563
FALSE,white,0.37334887334887334,80755,40120
FALSE,no_majority,0.2951985773562537,42695,27450
FALSE,no_majority,0.37854030501089325,102730,32486
FALSE,white,0.2524142524142524,66045,63246
FALSE,white,0.17127230857800807,60190,62577
FALSE,white,0.32634971796937956,83925,72952
FALSE,black,0.32660332541567694,62385,20331
FALSE,black,0.2978142076502732,31735,20015
FALSE,white,0.45411013567438147,65855,44223
FALSE,no_majority,0.2251552795031056,45650,36993
FALSE,black,0.30327102803738315,79295,26770
FALSE,black,0.3095472440944882,65435,24046
FALSE,white,0.14984709480122324,76575,56042
FALSE,no_majority,0.15191424196018377,95880,37897
