maj_foreign,maj_race,pct_publictrans,time_travel_workE,med_incomeE,avg_travel_time
FALSE,white,0.35317102494740005,78220,74275,23.510670273519686
FALSE,no_majority,0.34989200863930886,21120,11330,22.80777537796976
FALSE,white,0.21630094043887146,71210,44534,17.17144924041476
FALSE,no_majority,0.19281045751633988,28580,17819,23.34967320261438
FALSE,no_majority,0.23467137185707984,49175,34104,21.691662990736656
FALSE,no_majority,0.15327301756253325,36695,25078,19.529004789781798
FALSE,white,0,26885,27397,22.292703150912107
FALSE,white,0.014998707008016551,115070,41199,29.756917507111456
FALSE,white,0.0022925263640531865,105390,41773,24.160935350756535
FALSE,white,0.001445086705202312,60705,32618,29.241329479768787
FALSE,white,0.04089068825910931,56975,18284,23.0668016194332
FALSE,hs_latino,0.04063604240282685,34770,15791,20.47703180212014
FALSE,white,0.0492542490461325,56485,11140,19.592438432188693
FALSE,white,0,44105,39554,28.345115681233935
FALSE,white,0,90415,40196,22.0847581827064
FALSE,white,0.05782312925170068,58285,42370,28.321185617103986
FALSE,white,0.029051000645577793,40760,26134,26.31375080697224
FALSE,white,0.011621621621621621,118315,41893,31.977027027027027
FALSE,white,0,61535,35625,32.97695605573419
FALSE,white,0.012851897184822521,45345,31500,27.75091799265606
FALSE,white,0.03282828282828283,109370,47230,25.1078971533517
FALSE,no_majority,0.06427688504326329,17905,15336,22.132262051915944
FALSE,white,0.015062454077883909,75870,34750,27.87288758265981
FALSE,white,0.0012170385395537525,51215,26776,20.776876267748477
FALSE,white,0.006586418351124233,110565,42057,25.11128775834658
FALSE,white,0.0011235955056179776,107465,34833,30.18679775280899
FALSE,white,0.010641949879848954,64930,37335,22.289735667696533
FALSE,white,0.012021036814425245,50200,29719,18.8580015026296
FALSE,white,0.031837160751565764,39725,31707,20.73329853862213
FALSE,no_majority,0.03239959500506244,51855,16247,17.500843739453256
FALSE,white,0,57385,29925,22.363600935307872
FALSE,no_majority,0.04700854700854701,14515,21440,20.67663817663818
FALSE,white,0,66790,37342,24.8013367991088
FALSE,white,0.011587982832618025,54290,44099,23.300429184549355
FALSE,white,0.009510869565217392,53720,35653,24.329710144927535
FALSE,white,0,38515,31493,26.14731839782756
FALSE,white,0.006897993311036789,140380,33227,29.343645484949832
FALSE,white,0,49940,33152,25.649717514124294
FALSE,white,0,61210,21556,25.127257799671593
FALSE,white,0.005208333333333333,29395,26917,19.137369791666668
FALSE,white,0.02540106951871658,37360,15819,16.648841354723707
